PH,name,value
Negative or Unknown Exit,Income at Entry,47.3
Negative or Unknown Exit,Income at Exit,48.8
Negative or Unknown Exit,Insurance at Entry,48.8
Negative or Unknown Exit,Insurance at Exit,50.9
Permanent Housing,Income at Entry,59.1
Permanent Housing,Income at Exit,66
Permanent Housing,Insurance at Entry,41.6
Permanent Housing,Insurance at Exit,45.1
